disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JC34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29655,,,,,,,,,,,,,,,,0.4893,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_sp_4_3_54A2FAA,,,0.1417,,,,,,,,,,,,,,,,,,,,,0.58322,,,,,,,,,,,,,,,,,,,,,,,0.28165,,,,,,0.47316,,,,,,,,,,,0.3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6568,,,,,,,,,,,,,,,,,,,,,,,,0.2211,,,,,,,,,,3.54274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.824,,0.1728,0.2157,,,,,0.86398,,,,,,,,,,,,,,,0.2429,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae|g__Halobacteroidaceae_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum|s__Allobaculum_stercoricanis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia|s__Bulleidia_extructa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3561,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_unclassified,,,0.429,,0.46,,,0.12437,0.947,0.582,,,0.992,,0.26,,0.8761,,,0.123,,,,0.2482,,,0.359,,,0.597,0.342,0.5583,,,,,,,0.171,0.2134,0.198,0.32,0.3312,,0.139,,0.591,,,,0.2999,,,,,,0.1237,,,0.1292,0.914,,,0.897,0.373,,0.1292,0.819,0.368,,0.187,0.7441,,0.352,,0.1547,0.2419,,,1.5561,0.168,0.4414,,,,,,,,,,,,,,,0.39,,,0.3327,,0.3355,,,0.362,,,0.41687,,0.658,,,,,0.337,,0.2449,,,,0.782,0.348,,0.148,0.641,0.1484,0.467,0.1814,0.657,,0.15,0.856,0.6322,0.1185,0.1375,0.1832,0.3131,,0.6476,,0.22444,0.8847,0.457,0.34,,0.849,0.447,0.27,0.834,0.488,0.2575,0.36,,0.2654,0.147,,0.44694,0.13773,0.316,0.49,,0.732,,0.15811,,0.3484,,0.3298,0.664,,0.72,,0.4965,0.54,0.2523,0.13954,,0.173,0.21662,0.1423,0.721,0.557,0.675,0.241,1.2781,,,,0.2749,0.3747,0.323,0.1695,,0.429,0.588,0.5441,0.1766,1.15235,,0.475,0.331,0.1516,0.2414,0.21193,0.96,0.4494,0.187,0.274,0.17775,4.1184,,0.1565,0.3,0.49579,0.36776,0.33649,1.99397,0.2773,0.8288,0.21582,0.925,0.12738,0.6862,0.4643,0.1665,,,,0.794,0.19731,0.1812,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Eggerthia|s__Eggerthia_catenaformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,0.1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_ramosum,,,,,,,,0.484,0.157,0.3622,,,0.259,,,,0.367,,,,,,,0.539,,,,,,,,0.2864,0.6533,,,,,,,,0.149,,0.125,,,,0.129,,,,,,0.145,,,,,,,0.5435,0.4992,,,,,,0.4972,,,,0.619,0.169,,,,0.72,0.37,,,0.1561,,0.375,,,,,,,,,,,,,,,,,,,,0.133,,,,,,0.2599,,,,,,,,,0.297,,,,,0.3353,,,,0.684,0.18,0.329,,,,,0.435,0.196,,0.429,0.8759,,0.8813,,0.7226,0.281,,0.1681,,,,,0.1743,0.152,0.65,0.667,,0.174,,,0.882,0.2363,0.1198,,,,,0.5785,,0.6965,,0.1171,0.2674,,0.66,,0.1271,,0.1126,0.6584,,,0.11788,0.2246,0.2567,,,,0.29745,,,,0.416,0.357,,0.1998,,0.133,0.3135,0.746,0.1358,0.15947,,,,0.952,0.2879,0.1762,,0.2947,,0.9,0.395,3.54582,,0.73,,,0.14635,0.17162,0.49969,0.9818,0.575,0.39181,,0.2917,0.854,0.1671,0.1499,,,,,0.5665,0.1394,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_spiroforme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31216,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,0.176,,,,,,,,,0.272,,,,,,,,,0.68,,,,,,0.241,,0.43,,,,0.9645,,,,,,0.51,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,0.376,,,,,,,,,,,0.16,,,,,,,,,0.16,,,,0.1324,,,,,,,,,,,,,,,,,0.688,0.834,0.122,,,,,,,0.365,,,,,,,,,,0.85,,,,,0.41,,,,0.662,,0.63,,,,,,0.46,,,,,0.33,,,,,0.25,,0.169,,,,,0.89,,,,0.1326,,,,0.627,,0.8262,,0.5788,,,,,,,,0.9271,0.52,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_3_1_53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,0.289,,,,0.52,,,,,0.684,0.2183,,,,,,,,0.574,,,,,0.6857,,,,,,,,,,,,0.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674,,,0.1134,,,,,,,,0.415,,,,,,,,,,,,,,0.245,,,,,0.244,,,,0.239,,,,0.23952,,,,,,,,,,,,,,0.32174,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1626,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_5_2_54FAA,,,,,,,,,,,,,,,,,,,0.66,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3314,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563,,,,,0.41,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_dolichum,,,,,0.4526,,,,,,0.998,0.157,0.263,,0.189,,,,,,0.888,,,1.12119,,,,,,,,,,,,,,,0.16677,,,,,,,,,,,,,,,,,,0.95,,,,,,,0.431,0.2418,,,,,,0.4872,,0.642,,,0.12329,,,,,,,,,,,,,0.294,0.2892,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193,,,,,,,,,0.5862,,,,,,,,,,,,,,,,,,,,,,0.121,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.523,,,,,,,,,,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_sp_AP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_unclassified,,0.1152,0.357,,,0.374,0.79,,0.436,0.333,,,0.124,0.85,0.284,,,,,0.135,,,,,0.421,,0.2341,0.276,0.1822,,0.1439,,,,,,,,,0.1295,,0.14,,0.59,0.1829,0.774,0.2471,0.96,,0.645,0.148,0.1844,0.111,,0.3267,0.1418,0.1522,0.686,0.16,0.1674,,,0.1542,,0.271,,,0.1419,0.1731,0.1484,,0.938,,0.261,,,,,,,,0.153,0.1264,0.1195,,,0.47,,,0.1877,0.33,,,,0.58,0.254,,,,0.1325,0.78,,0.766,,,0.546,,,,,0.3696,,,,,,,0.383,,0.1911,0.152,0.153,,0.4532,,,,0.1962,0.3989,0.85,,,0.137,0.353,,,,0.75,0.6476,,,0.2146,,,0.5741,,,,,0.126,0.8,,,,,0.251,,0.896,,0.4224,,,,,0.2334,,,,,,,0.424,,,,,,0.158,,,,,,,,,,,,,0.2782,,,0.732,0.47,0.535,,,,,,0.155,,0.34,0.2711,0.558,0.1468,,0.5834,,,,,,,,,,0.384,,,,,,0.651,0.22389,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_sp_BV3L6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Anaeroglobus|s__Anaeroglobus_geminatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.678,,,,,,,,,0.472,0.597,,,,,,,,,0.48,,,,0.161,0.3986,,0.267,,,0.731,0.84,0.1452,,0.171,,,,,,,0.362,,,,,,,0.38,,,,,,,,,,,0.248,,,0.1735,,0.389,0.2912,,,0.4555,0.147,0.186,0.118,0.67,,0.681,,0.2328,0.2353,,,,0.1124,,,,,,,,,,,,,,0.85,,,,,,,0.7944,,0.484,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_funiformis,0.216,,,,,,,,0.5457,,0.514,,3.88725,0.42,0.32,0.3171,,,,,0.3723,0.2374,,0.1572,,0.13432,,0.4193,,0.3219,,,,,0.1839,,0.4,0.119,,,,,,,,,,0.265,,1.9998,,,,0.579,,,,,,,,,,,,3.25514,,,,0.314,0.59,,,0.998,,0.55836,,,,,,,,0.8233,0.65562,,0.24791,0.2318,,0.5383,,,,,0.36699,0.5498,0.449,0.636,0.2163,0.11525,0.737,,0.5435,0.1489,3.462,,,,0.1127,,0.523,0.6816,,,,2.91283,,0.1211,,0.31799,,,0.212,,0.722,,,5.95389,,,0.277,0.4192,0.14615,1.84979,,0.344,,,,,,,0.3666,0.419,,,,,,,,0.1158,,,,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29144,,0.2118,,,,0.49,0.1548,0.561,,,,,,,,,,,,0.182,0.14,0.38629,,0.66,,0.543,,0.55,,,4.87235,,,,,,,0.1241,0.442,0.736,,,0.3335,,,0.67
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_hypermegale,0.486,0.93523,,,,,,,,,,,7.9262,0.753,0.111,0.29782,,,0.3848,,0.62923,0.337,,1.424,,0.713,,0.14689,,0.1375,0.954,,,,0.2255,,0.54121,0.625,0.12468,,,,,,,,,0.17962,0.3761,0.298,,,0.7189,,,,,,,,0.339,0.2843,,0.95676,0.143,0.1637,,0.263,,0.54853,0.419,0.122,,7.13648,,4.88723,,1.1418,,,,,,,3.85,,0.1544,0.8525,,1.294,,0.114,,,0.34846,0.24355,0.1236,0.5764,1.46625,0.57731,,,0.69396,12.31252,0.14462,,0.17815,,0.473,,,0.272,,0.1194,,0.9651,,0.35887,,0.991,,0.82,3.2297,,0.267,0.767,,11.18153,,,0.5952,0.1696,0.15795,2.2412,,0.2157,,,,0.213,,,0.452,0.1639,,,,,,,,0.34893,,,,0.7428,0.1941,,,,,,,,0.377,,0.2226,,,,,0.4868,,,,,,,0.3241,,,0.1856,,,,,,4.229,2.29611,,,0.91,0.3625,0.62,,,,0.11,,0.1729,0.421,0.323,,0.5857,0.438,0.15563,0.391,0.1585,,0.333,,0.1316,,0.219,,,3.44446,,,,0.57742,0.99,,0.5317,0.1659,0.9941,,0.765,0.1915,,,0.394
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_rupellensis,0.43554,0.24781,,,,,,,,,,,1.154,0.117,0.37,0.8224,,,0.1261,,0.44669,0.458,0.5,0.78323,,0.355,,0.1874,,0.7227,0.34479,0.3428,,,0.23,,0.54378,0.1961,0.21511,0.71767,,,,,,,,0.729,0.17447,0.268,,0.177,0.2633,0.39,,,,,,,,0.336,,3.1129,0.91,0.43343,,0.827,,0.939,0.9652,0.939,,0.2519,,0.157,,1.4414,,,,,,,0.12819,,,0.49,,0.1678,,0.2244,,,0.19295,0.1247,0.2752,0.2627,0.5554,0.1537,0.192,,1.7878,1.2246,0.11937,0.488,1.14537,,0.45,,0.397,0.131,,1.8776,,0.37816,,0.385,,0.39,,0.67,0.44,,0.393,,,0.97252,,,0.21578,0.7,0.66,0.79682,,0.378,,,,0.79,,,0.762,0.83,,,,,,,,0.2355,,,,0.87628,0.15883,0.122,,,,,,,0.32,,0.179,,,,,0.478,,,0.25,,,,0.2667,,,0.632,,,,0.7,,0.432,0.326,,,,0.241,0.1726,,,,,,,,0.645,,0.515,,0.629,0.113,0.3537,,,,0.1,,0.173,,,0.25416,,,,0.2776,,,0.18178,0.3333,0.1561,,,0.56,,,0.2479
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_unclassified,3.17551,1.42526,0.147,0.87,,,0.627,0.1466,0.2224,0.896,0.357,,9.91433,0.4163,0.3558,0.87976,0.142,,0.57328,0.38,2.4362,0.5567,0.58,2.17141,,0.86917,,0.38152,,0.25391,0.7574,0.99811,0.376,0.14,0.1586,0.133,1.8481,0.52946,5.4999,1.26154,,,,,,,,0.2162,0.34613,5.9143,0.96,0.1552,0.5257,0.2311,,,,,,,0.2667,0.8229,0.4192,2.76185,0.3291,16.63245,0.1535,0.1762,,1.51492,0.545,0.128,,15.66654,,8.7623,0.448,3.2424,0.3352,,0.1443,0.665,0.281,3.3162,4.2199,,0.92999,0.232,0.148,1.44129,,0.2922,,,2.97959,0.31943,0.42777,0.49764,1.8645,0.9864,0.27937,0.64,2.89524,22.69177,12.1972,0.283,3.4449,,0.729,,0.212,2.38987,,1.77452,,15.5477,,0.52,0.1432,2.25632,,0.1683,6.3279,,0.5521,0.2363,,1.3389,,,0.42222,0.17456,0.2356,2.16625,0.115,0.3245,0.1648,,,0.234,0.658,0.727,0.655,0.139,,0.335,0.2142,,,0.23,,2.32116,0.1123,0.711,0.2971,3.1595,0.5726,0.855,,,,,,,0.1179,0.94,0.6397,,,,0.233,0.1281,,0.326,0.77,0.288,0.15,0.627,1.239,0.479,0.377,0.2216,,,,1.21955,0.523,8.38475,2.24397,0.1148,0.117,0.1558,0.365,0.13725,0.912,0.1612,0.614,0.3633,0.1325,0.5569,0.4959,0.2124,0.196,0.89511,0.1756,0.25891,0.767,1.1665,,0.6453,0.312,0.1867,,0.599,0.85,,33.36875,0.1899,0.151,0.1961,0.86441,0.3341,0.3284,0.62589,1.27784,0.43782,0.1572,0.384,0.3814,0.1356,0.215,0.3928
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii,,,,,,,,,0.13961,,,0.225,,,,,,,,,0.112,,,,,,,,,,0.1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,,,,,,,,,,,,,0.671,,,,,0.4624,,,,,,,,,,,,,,,,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,0.1284,,,0.1817,,,0.2161,,,,,,,,,,0.17,,,,,,,,,,,0.819,,,,,,1.12315,,,,0.1677,0.1969,,,,,,,,,,,,,,,,,0.2683,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis,,,,,,,,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.643,,,,,,,,,,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,0.2784,0.956,0.4393,0.63,0.91,0.4242,0.29,0.3773,0.4777,,0.87,,0.137,,0.13926,0.3411,,0.5539,,0.42,0.1946,,0.1351,0.268,0.1936,1.8899,,0.1776,0.28653,1.32675,0.361,,0.8467,,0.1456,0.675,0.21485,0.423,1.17343,0.24521,,0.2241,0.7444,,0.341,0.5187,0.5174,0.9498,0.8232,0.81,0.63,0.1212,2.2842,,0.3527,,0.461,0.37211,0.232,0.723,0.438,,0.419,0.262,0.1289,0.58899,3.753,,0.47393,0.1355,0.1165,0.1129,0.613,0.1669,0.578,1.1439,0.2815,0.83,,,1.43385,0.8471,0.431,,0.635,0.76474,,0.2755,,0.3481,0.319,1.13279,,0.44829,0.7189,,,1.13313,0.229,0.21281,,,,0.466,,,0.16487,,,1.476,0.1644,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Selenomonas|s__Selenomonas_bovis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_3_1_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55931,5.41159,,,,,,,,,3.66363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_6_1_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2338,,,,,,3.22537,,,,,,,,,,,,,,1.5934,1.35411,,0.42861,,,,,1.37932,,,,,,,,,,,,,,,,,,,2.736,,,,,,,,,,,,,,,,,,,4.74853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_mortiferum,0.411,,0.7288,,,,0.265,0.664,0.411,3.69786,,,14.24734,0.2417,,2.24471,,,0.66279,,1.12582,,,,,,,,,0.13437,0.17539,0.57992,2.7449,,,,,,,,0.99,,3.72425,,0.79126,,,,0.1742,,0.484,,,,,,0.35,,,0.2447,,0.73,,0.4392,1.9535,,,0.295,,0.2999,0.1379,2.2426,,,,0.77161,0.33,0.62121,0.892,0.5364,0.35,,,,5.2144,0.5433,0.25493,,,,0.974,,0.494,0.5214,0.52326,,0.833,1.4987,1.845,0.2498,0.1878,,,0.47546,1.9432,0.978,,0.94851,,0.965,,,,,0.52239,,,0.188,,0.371,,0.78769,0.1946,0.5648,0.715,,,0.38763,0.861,,1.32578,0.71,2.1926,0.4418,0.14962,,,,,,0.238,1.9916,0.6,0.272,1.34993,0.95,0.43,,0.786,0.64,,,0.211,,,,0.114,,,0.172,,0.71971,,,0.36,0.421,0.3596,0.164,0.116,0.1928,0.86,,0.1729,,0.39772,0.76,0.621,0.72488,,0.1976,0.829,0.63557,4.6327,0.61912,2.31578,,,0.376,,,,,0.6831,0.513,0.1854,3.13847,0.1397,,,,,4.48737,0.478,2.76162,0.44,0.91285,0.1831,14.75616,0.266,0.35,0.939,2.83395,,,,,22.26,,4.17479,3.1922,0.1598,,,0.289,,0.6155,,,0.372,4.82455,0.745,2.27562
