ID,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174
OTU397,,,0.368,,,,0.143,0.4673,0.7953,,,0.1627,0.61,,,0.149,,,0.945,,0.3962,,0.147,,,,,,,,,,,,,0.8,,,,,,0.5764,0.389,,0.3778,0.192,0.624,0.4566,0.1469,0.12,,0.1442,,,,,0.4327,,,0.338,,0.67949,,,,,,,,,0.18,,,,,0.378,0.81,,,0.979,,,0.17,,,,,,0.916,,,,,,,,0.1158,,0.126,,0.741,,,,0.12458,,0.688,0.2747,,,,0.57,,0.2478,0.7984,,,,,,0.1269,,,0.198,,,,0.867,,,,,,,0.777,0.5519,,0.1681,,,,,,,0.188,,0.995,0.1989,,,,,0.16,0.573,,,,,0.9675,,0.5838,,,,0.38472,,,,,,,,,
OTU398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU399,,,,,0.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,0.62,,,,,0.258,,,0.68,,,0.121,,,,,,,,,,,,,,,,,,,,,0.1694,,,,0.1175,,,,,,,,0.13,0.488,,,,,,,,,0.97,,,0.335,,,,,,,,,,,,,,,,,,,0.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,,,,,,,,,0.139,,,0.1176,,,,,,,,,,,,,,,0.1167,,
OTU400,,,,,,,,,,0.27,,0.1468,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,0.568,,,0.37975,,,0.15,,,0.69,,,,,,,,,,,,,,0.27293,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,0.2467,,,,,,,,,,,,,,,,,,,,,,,,,,0.5229,,,,,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,,,,,,,0.4145,,,,,,,0.1499,,,,,,,
OTU401,,,,,,,0.3428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474,,,,,,,,,,,,0.191,,,,,,,,,,,
OTU402,,,,,,0.138,,,,,,,,,,,,0.21,0.3985,,,,0.127,,,,,,,,,,,,,0.19594,,,,,,,0.533,,,0.9271,,0.3664,,,,,,,,,,,,,,,,0.2278,,,,,,,,,,,,,,,,,,,,,0.1173,,,,,,,0.2335,0.913,,,,,,,,,,,,,,,,,,,,,,,,0.2861,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,0.686,,0.1583,,,,,,,0.1115,0.289,,,,,,,,,,,,,0.25186
OTU403,,,,,,,,,,,,,,,,,,,,,,,0.23861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46587,,,,,,,,,,,,,,,,,,,,,,0.17722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19131,,,,,,,,,,,,,,,,,,,,
OTU404,,,,,0.2648,,0.146,,,0.658,0.878,,,,,,,0.35,,0.396,,0.2272,,,,0.124,,,0.78,0.383,,0.2347,0.3738,,,,,,,0.1561,,,,0.1639,,,,0.6984,0.4433,,0.4593,,0.1297,,0.383,0.75,,,,0.224,,,,,0.2785,,,,,,,0.12849,0.355,,,,,0.1851,0.868,,0.1569,,,,0.12796,0.1638,,,,,0.357,0.5473,,0.4393,,0.376,,,,,0.637,,0.1251,,,0.571,0.1964,,0.626,0.936,0.451,0.43,0.11,,0.6528,,0.283,,0.9293,,,,,,,,0.36,,0.16259,0.3784,,0.661,0.638,0.3787,,,,,,0.2676,,0.1586,,0.612,,0.3382,,0.8379,,,0.29,0.2424,,,0.94,0.34,,0.64,,0.3779,,0.77,0.1458,,,,,0.1694,,0.2979,,,,
OTU405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU407,,0.75854,0.3681,0.3249,,,,,,,,,,,,,0.269,,,0.2788,,0.52,,,0.16379,,,,,0.2758,,,0.33,,,,1.5615,,,0.2688,,,,0.2933,,,,,,,,,0.498,,,0.88484,,0.62331,0.9925,,,2.1675,,,,,,,,,,,0.77616,,,,,,0.11412,,0.13851,0.52,,,0.25687,,,,,0.522,0.4837,,0.6328,,,0.8643,,,,0.88962,,,,,,,2.25417,,,,,1.54229,,,,,,0.1117,,,,,0.1663,,,,,,,,0.35596,,,,,,0.15835,,,,,,,,,,,,,,,,,,,0.5279,,,,,,,,,,,,,,,,,0.37334,
OTU408,,3.69896,0.1468,0.547,0.24177,,,,,,,,,0.47363,,,3.1275,,,0.22569,0.15712,1.52553,,,0.4973,,,,,1.52899,,,0.355,,,,1.725,,,0.2659,,,,3.42927,,,,,0.5837,,0.61686,,0.237,,,3.17871,,0.19682,0.58876,,,11.38513,,,,,,,,,0.25847,,0.15298,,,0.7745,,0.835,2.58881,,0.151,0.241,,,0.116,,,,,0.299,0.227,0.6584,0.441,,,0.12437,,,,3.72963,0.58852,,,0.3426,,,,,,,,,,,,,,0.18192,,,,,0.1948,0.27853,,,0.17591,,,,3.17365,,,,23.86411,,7.51899,1.2415,,,,,4.21144,,,0.1392,,,,,,,,,,0.261,,,,,,0.2296,,,0.424,,,,1.18865,,,,1.2572,
OTU409,,1.25352,,0.78415,0.6211,,,,,,,,,0.89399,,,0.46512,,,0.3182,12.56211,0.736,,,,,,,,,,,0.51159,,,0.85887,4.33777,,,0.265,,,,,,,,,0.8458,,0.7975,,0.1115,,,0.41,,0.23,2.9829,,,,,,,,,,,,6.66659,,0.94,,,0.7492,,0.28742,0.1519,,0.734,,,,0.7831,,,,,0.33431,0.94817,0.3218,5.5495,,,0.7246,,,,0.365,6.99611,,,0.237,,,,,,,,0.554,,,,,,0.35645,,,,,0.15483,1.3935,,,0.514,,,,0.4583,,,,0.1695,,0.1425,5.223,,,,,6.94937,,,0.6885,,,,,,,,,,0.21272,,,,,0.82,0.762,,,,,,,3.5856,,,,1.5966,
OTU410,,14.8669,0.9553,1.7997,1.87717,,,,,,,,0.17,3.43162,,0.31,5.8239,,,0.9769,13.57996,3.87297,,,0.67854,,,,0.78,1.732,,,1.282,,,1.11765,12.31167,,,0.278,,,,6.41388,,0.216,,,0.33619,0.39,1.55368,,0.88948,,,1.4795,,2.72941,5.7224,,,1.25623,,,,,,,,0.413,15.3481,,2.8667,,,0.44225,,0.3418,4.172,,0.61895,0.1182,,,1.8857,,0.331,,,0.5599,1.24381,0.8983,6.2182,,,2.4465,,,,4.67962,15.65677,,0.139,1.83158,,,15.76758,,,,0.717,2.88889,,,,,,0.5737,,,0.83,0.1688,2.2127,1.69587,,0.271,0.21367,0.526,,,5.88376,,,,34.1669,,7.12342,14.74767,,0.836,,,3.2292,,,1.61521,,,,0.24,,,,,,1.87798,,0.1328,,,0.174,0.8116,,,0.2548,0.81,,,6.9153,,,0.292,1.2759,
OTU411,,,,,,,,,,,,,,,,0.81,,,,0.397,,,,,,,,,,,,0.284,,,,,,,0.197,,,,,,,,,,,,,,,,,,1.4529,0.26362,,,,,0.888,,,,,,,,,,0.13689,,,0.139,,,0.895,,,,,,,,,,,,,,,,,,,0.42771,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2826,,,,,,,,,,,,,
OTU412,,,,,,,0.165,,,0.9,,1.25297,,,,,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,,,,,0.1697,,,,,0.4824,,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,0.1645,0.266,,0.36,,,,,,0.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,,,,,,0.967,,,,,,,,,,,0.48,,,,,,,0.81,,
OTU413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU416,,,,2.26471,0.48953,,0.819,,,,,,0.22134,,,,2.36183,,2.16297,,,,,,,,,,,,,,0.15162,,,1.9681,,,,0.4514,,,,,,,,1.39787,0.32469,,,,,,,,,,,0.4862,,,,0.18932,,0.397,,,,0.2367,,,,,,,,,,,,0.5975,0.2292,0.9594,,0.36974,,,,,1.67758,0.697,,,,0.69977,,,,,0.224,,,4.4587,,,1.54198,0.832,0.959,,,3.27336,,,0.68355,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,2.3979,,,,,,0.63935,,,0.34442,,,,,,,,,,,,,,,,,0.5,0.665,9.27593,
OTU417,,,,,,,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,,,,,,,,,,,,0.3453,,,,,,,,0.1283
OTU418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU422,,,0.158,,0.1647,,,,0.1495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,0.2722,,,,,,,,,,,,,0.195,,,,,,,,0.1438,,,,,,,,,,,,,,,,,,0.2493,,,,,,,,,,,,,,,,,,0.113,0.4157,,,,,,,,,,,,,,,0.1318,,,,
OTU423,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU424,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU425,,,,0.346,,,,,,,,,0.479,,,,,0.259,,0.499,,,,,,,,0.338,,,,,,,,,,0.572,,,,,,,0.766,,,,,,,,,,,,,,,,,,,,,,,,,0.789,,0.678,,,,,,,,,0.637,,,,0.85,0.446,,,,,,,,,,,,,,,,,,,,,,,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1758,,,,,,0.666,,,,,0.915,,,,,0.197,0.1724,,,
OTU426,0.97,,,,,,,,,0.73,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,0.1774,,0.21,,,0.1445,0.1165,0.412,,,0.647,0.8,0.547,0.971,0.181,0.74,,0.52,0.4778,0.1261,0.383,0.439,0.1665,0.2587,0.843,0.1311,0.1481,0.122,0.319,0.577,,0.994,,0.88,0.347,0.273,0.1165,0.1199
OTU427,,0.3878,,,,,,,,,,,,,,,,,,0.152,,,,0.136,,,,,,,,,,,,,,,,,,,0.1227,0.1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1394,0.2846,,,,,,,,,,,,,,,,,,,,,,,0.2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4372,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1281
OTU428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1922,,,,,,,,,,
OTU429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1233,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519,,,0.3581,
OTU433,,,,,0.958,,,,,,,,,,,0.1162,,,,,,,,,,,,,,,,,,,,0.287,,,0.65,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1672,,,,,,,,,,0.262,,
OTU434,,,,,,,,,,,,,,,,,,,,,,0.1395,,,,,,,,,,,,,,,,,,,0.1767,,,,,,,,0.115,,0.15128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1411,,,,,,,,,,,,,,,,,0.3797,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,,,,,,,,
OTU436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1526,,,,,,,,,,,,,,,,,
OTU438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,
OTU439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284,,,0.2279,,,,,,,,,,,,,1.46175,,,,,,,,,,,,,,,,,,,,,,,,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU443,,,0.85,,,,,,,,,,0.211,,,,,,,,,,,,,0.14818,,,,,,,0.425,,,0.191,,,,,,,,,0.4951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1142,,,,,,,,,,,,,,,,,,,,
OTU444,,,0.758,,,0.132,0.919,,,0.1124,,,0.943,,0.3432,,0.188,0.1217,,,,,,,0.4381,0.2953,,,,,,,0.1185,,0.138,0.22111,,0.519,0.18777,0.2584,0.7667,0.984,,,0.1793,,,,,,,0.2185,,,,,,,,,,,,,,,,,,,,,0.635,,,,0.2136,,,0.4657,,0.19539,0.827,,,,0.114,,,,,,,,,,0.232,,0.227,,0.3269,,,,0.391,,0.1131,,,,0.3736,,,,,,,,,,,,,,0.8671,,,,,,,,,,,0.1697,,,,,,,,,,,0.2318,,0.886,,0.6557,,0.1671,0.5764,,,0.2334,,0.591,,,,,,0.5351,,0.1516,,,,,,0.2351,0.6288
OTU445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489,,,,,,,,,,0.1337,,,,,,,,,,,,,,,,,,,,,,,,0.2644,,,,,,,,,,,,,,,,0.183,,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416,,,,,,,,,,,,,,,,,,,,
OTU446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941,,,,,,,,,,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU450,,,,,,0.77,,,,,,,,,,,,,,,,,0.654,,,,,,,,,,,,,,,,,,,,,,0.1356,,,,,,,,,,,,,,,,,,,0.1488,,,,,,,,,,,,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5747,,,,,,,,,0.139,,,,,,
OTU451,,,,,,,,,,,,,,,,,,,,,,,,,,0.2277,,,,,0.864,,,,,,,,,,,,,,,0.233,,,,,,,,,,,,,,,,0.3788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3815,
OTU452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU456,,,0.883,,,,,,,,,0.1956,,,0.37357,,,,,,,,,,,,0.189,0.651,,,0.412,,,0.414,,,,,,,,,,,,0.415,,0.3485,,,,,0.46,0.491,,,,0.453,0.1189,,,,,,,0.747,,,,,,,,0.435,,,,,,,,,,,,,,,,,,,,,,0.353,0.162,,,,,,0.92,,,0.16786,0.379,0.1421,,,0.487,0.1574,,0.1254,,,,0.2567,,,0.549,,0.1331,,,,,,,,,,,0.754,,,,,0.558,,,0.66,0.1395,,,0.266,,,,0.1867,,,,,,,,0.836,,,,,,,,0.5499,,,,0.36924,,,0.136,0.354
OTU457,,,,,,,,,,,,,,,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,,,,,,,,,0.2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,,,0.189,
